GRAND_ID,GDW_ID,Name,Main_use,Uses,Cap_mcm,River,Disch_ls,Reg_degre,Elev,area_km,perm_km,HUC2,Lat,Long
1851,165,Hartwell Lake,Hydroelectricity,"Hydropower (Main), Flood control (Sec), Recreation (Sec)",4241.6,Savannah River,123150,109.2,203,189.237,757.608,03,34.36049100000001,-82.82299299999994
1862,942,Allatoona Lake,Flood control,"Flood control (Main), Hydropower (Sec), Water supply (Sec), Recreation (Sec)",826.5,Etowah,57607,45.5,257,36.204,187.856,03,34.164969000000006,-84.72631299999995
1863,166,Lake Sidney Lanier,Flood control,"Flood control (Main), Hydropower (Sec), Recreation (Sec)",3397.677,Chattahoochee River,64677,154.5,326,133.798,545.461,03,34.160840000000036,-84.07235699999995
1864,943,Enid Lake,Flood control,"Flood control (Main), Recreation (Sec)",1496.8,Yocona River,42537,111.6,71,58.992,97.95,08,34.15165300000005,-89.90446999999995
1869,169,Grenada Lake,Flood control,"Flood control (Main), Recreation (Sec)",3357.7,Yalobusha River,88235,120.7,61,107.448,120.806,08,33.814591000000036,-89.76873999999998
1879,171,Lake Marion,Flood control,"Flood control (Main), Hydropower (Sec), Water supply (Sec), Recreation (Sec), Navigation (Sec)",1548.58,Santee River,561578,8.6,21,223.236,233.513,03,33.452083000000066,-80.16572999999994
1883,961,Laurens Shoals,Hydroelectricity,"Hydropower (Main), Water supply (Sec), Recreation (Sec)",137.959,Oconee,64278,35.9,134,69.928,313.833,03,33.35275399999999,-83.15714899999995
1896,977,West Point Lake,Flood control,"Flood control (Main), Hydropower (Sec), Recreation (Sec)",909.075,Chattahoochee River,159745,14.8,193,89.883,411.712,03,32.92455200000008,-85.19284699999997
1910,178,Eufaula,Navigation,"Navigation (Main), Hydropower (Sec), Flood control (Sec), Recreation (Sec)",1456.956,Chattahoochee River,287226,12.7,57,126.274,203.871,03,31.62751700000004,-85.06494499999997
1916,1024,Lake Seminole,Navigation,"Navigation (Main), Hydropower (Sec), Flood control (Sec), Recreation (Sec)",513.577,Apalachicola River,644760,2.5,24,83.432,234.571,03,30.708037000000072,-84.86611499999998
