pars,period,Method,GRAND_ID,nrmse_stor,nrmse_release,kge_stor,kge_release,pbias_stor,pbias_release,nse_stor,nse_release,r2_stor,r2_release
fitted,Evaluation,rulebasedloc200,42,391.4,27.4,-0.149444657794376,0.9566826024407418,4.3,-0,-14.323299992963747,0.9246559118590025,0.0020543443112261543,0.9282318910362319
fitted,Evaluation,sdp,42,394.2,26.8,NA,0.9572636925908254,4.4,-0,-14.547499550706782,0.9281620875074683,NA,0.9317177523708802
fitted,Evaluation,starfit,42,1616.4,45.9,-13.626532727496661,0.8834452176263652,-4.4,0,-260.33383067680523,0.7889305267720546,0.006650778180205662,0.793596633103712
fitted,Fitting,gdrom,42,3218.2,102.4,-23.89535563300827,0.5397812733882725,-30.2,10.8,-1034.884932835453,-0.04796005738766462,0.02343132616861153,0.32245802965335757
fitted,Fitting,h06,42,3723.8,138.6,-26.143118866871095,0.2793513671127099,-38.6,19.2,-1385.9524154063781,-0.9218861899873256,0.03330447218142186,0.26516884580823724
fitted,Fitting,natlake,42,255.4,28.5,-0.3241097056297937,0.9496433935388878,3.8,0,-5.52377221747939,0.9184847216795371,7.202049939817697e-4,0.923505328848754
fitted,Fitting,rulebasedloc200,42,254.3,29.2,-0.06151028652521662,0.9495943091011974,3.6,0,-5.468197197756682,0.9145089434986654,7.495118912083009e-5,0.9194472836560669
fitted,Fitting,sdp,42,255.5,28.5,-0.3542606116064093,0.9495686433362815,3.8,0,-5.528718280070386,0.9190377474125563,0.0010706410390054447,0.9240841085880982
fitted,Fitting,starfit,42,1196.8,42.8,-9.47017403112213,0.9059343919902924,-5.2,0,-142.25475363852368,0.8164285932508859,0.00426254400985163,0.8226504872927259
default,Evaluation,gdrom,55,33.9,58.9,0.9344728388731616,0.8176113003049804,-1.8,-0.1,0.8851477470121984,0.6534984000377165,0.8942438212364988,0.6741363193421503
default,Evaluation,h06,55,62.3,75.6,0.7029123037227376,0.37639817301136747,-0.8,0.8,0.6119081807081412,0.42809907821179294,0.6124378189167992,0.48776876916371137
default,Evaluation,natlake,55,86.6,83.6,0.3570524110653298,0.2499893571495455,22.9,1.1,0.2497149005541004,0.30144940685741517,0.6717979700478212,0.35052200594331867
default,Evaluation,rulebasedloc200,55,74,63.6,0.7215316010516566,0.7541993875928898,25.5,0.1,0.45151259491136597,0.5949409701622126,0.7913209491267885,0.6075080747990097
default,Evaluation,sdp,55,132,96.5,0.2076854840935104,0.2536956387998397,48.7,1.4,-0.7422070610505893,0.06772697476271172,0.5881984416355618,0.13099176126479167
default,Evaluation,starfit,55,84.1,55.1,0.6773232216483944,0.7932715422905462,-27.9,7.3,0.292918258051171,0.6963260656831045,0.7384365623205582,0.7036561142536675
default,Fitting,gdrom,55,66.7,86.6,0.783079187614266,0.5987256301203202,0.6,0.1,0.5550657262627452,0.25028970072588075,0.6189997179503562,0.36385780669415224
default,Fitting,h06,55,66.4,87.9,0.7360333840750033,0.33616751140305046,10.8,-0,0.559137795383091,0.22787649679591648,0.6107013589799154,0.23654571121799134
default,Fitting,natlake,55,96.4,90.6,0.2824170149333478,0.18511469949455783,35.2,-0.9,0.07087779362339086,0.1795245716976247,0.6076470172746692,0.17958796510506753
